,academic_level_area_of_study,program_of_study,program_length,duration_of_term,institution_name,program_type
3485,Bachelor Sciences ,Computing Science and Business Administration,4 Year(s),4 Month(s),Saint Mary's University,CO-OP
3486,College Diploma (DCS) ,Computer Systems Technician - Networking,2 Year(s),4 Month(s),Georgian College  ,CO-OP
3487,Bachelor Computer Sciences ,Computing and Network Communications,4.5 Year(s),4 Month(s),Brock University,CO-OP
3488,Bachelor Business administration ,Entrepreneurship,4.5 Year(s),4 Month(s),Brock University,CO-OP
3489,Bachelor Business administration ,Information Systems,4.5 Year(s),4 Month(s),Brock University,CO-OP
3490,Bachelor Business administration ,International Business,4.5 Year(s),4 Month(s),Brock University,CO-OP
3491,Bachelor Business administration ,Operations Management,4.5 Year(s),4 Month(s),Brock University,CO-OP
3492,Bachelor Business administration ,Public Administration,4.5 Year(s),4 Month(s),Brock University,CO-OP
3493,Bachelor Sciences ,Earth Sciences - Environmental Geoscience,5 Year(s),* Notes Month(s),Brock University,CO-OP
3494,Bachelor Social Sciences ,Early Learning Program Development,4 Year(s),4 Month(s),Conestoga College,CO-OP
3495,Bachelor Arts ,Creative Writing,5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
