,academic_level_area_of_study,program_of_study,program_length,duration_of_term,institution_name,program_type
245,Bachelor Business administration ,Accounting and Finance,4 Year(s),16 Week(s),University of the Fraser Valley,CO-OP
246,Bachelor Business administration ,Accounting and Finance,4 Year(s),16 Week(s),Simon Fraser University,CO-OP
247,College Diploma (DCS) ,Accounting and Finance,2 Year(s),12-16 Week(s),College of New Caledonia,CO-OP
248,College Diploma (DCS) ,Accounting and Finance,3 Year(s),16 Week(s),Seneca College,CO-OP
249,College Diploma (DCS) ,Accounting and Finance,2 Year(s),16 Week(s),Selkirk College,CO-OP
250,College Diploma (DCS) ,Renewable Resource Management,2  Year(s),12  Week(s),Yukon College,CO-OP
251,Bachelor Arts ,Resource-Based Tourism,4 Year(s),13 to 18 Week(s),University of Northern British Columbia,CO-OP
252,College Diploma (DCS) Social Sciences ,Restoration of Natural Systems,2 Year(s),16-18 Week(s),University of Victoria,CO-OP
253,Bachelor Business administration ,Retailing and Services,4 Year(s),16 Week(s),University of Alberta,CO-OP
254,Master Sciences ,Risk Analysis,1 Year(s),16 Week(s),Université de Montréal,CO-OP
255,Master Environment ,Risk Assessment,2 Year(s),16 Week(s),Simon Fraser University,CO-OP
256,Bachelor Engineering ,Aerospace Engineering,5 Year(s),16 Week(s),Carleton University,CO-OP
257,Bachelor Arts ,Agricultural Studies,4 Year(s),16 Week(s),University of Lethbridge,CO-OP
258,Bachelor Sciences ,Agricultural Studies,4 Year(s),16 Week(s),University of Lethbridge,CO-OP
259,Master Business administration ,Analysis and Development of Organizations,2 Year(s),15 Week(s),École nationale d'administration publique (ENAP),CO-OP
260,Master Business administration ,Analysis and Development of Organizations,2 Year(s),16 Week(s),École nationale d'administration publique (ENAP),CO-OP
261,Master Management Sciences ,Analysis and Development of Organizations,2 Year(s),16 Week(s),École nationale d'administration publique (ÉNAP)/ Quebec Campus - College,CO-OP
262,Bachelor Arts ,Anthropology,4 Year(s),16 Week(s),University of the Fraser Valley,CO-OP
263,Bachelor Arts & Sciences ,Actuarial mathematics,3 Year(s),16 Week(s),Concordia University of Montreal,CO-OP
264,Bachelor Sciences ,Actuarial Science,5 Year(s),16 Week(s),University of Waterloo,CO-OP
265,Doctorate Social Sciences ,Anthropology,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
266,Bachelor Arts ,Anthropology,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
267,Master Arts ,Anthropology,4 Year(s),16-18 Week(s),University of Victoria,CO-OP
268,Bachelor Arts ,Anthropology,5 Year(s),12-16 Week(s),University of British Columbia (Okanagan),CO-OP
269,Bachelor Arts & Sciences ,Anthropology,4 Year(s),16 Week(s),University of Calgary,CO-OP
270,Bachelor Arts ,Anthropology,4 Year(s),16 Week(s),University of Northern British Columbia,CO-OP
271,Bachelor Arts ,Anthropology,4 Year(s),16 Week(s),Simon Fraser University,CO-OP
272,Bachelor Arts ,Anthropology,4 Year(s),16 Week(s),University of Lethbridge,CO-OP
273,Bachelor Social Sciences ,Anthropology,4  Year(s),16 each Week(s),University of Ottawa,CO-OP
274,Master Sciences ,Anthropology,2 Year(s),16 Week(s),University of Toronto,CO-OP
275,Bachelor Computer Sciences ,Applied Computer Science,3 Year(s),12 Week(s),Thompson Rivers University,CO-OP
276,Bachelor Sciences ,Applied Computer Science,4 Year(s),12-16 Week(s),Université de Moncton,CO-OP
277,Doctorate Social Sciences ,Applied Economics,4 Year(s),16 Week(s),University of Waterloo,CO-OP
278,Master ,Applied Economics,2 Year(s),16 Week(s),University of Waterloo,CO-OP
279,Bachelor Arts ,Applied Economics,5 Year(s),16 Week(s),University of Waterloo,CO-OP
280,Bachelor Arts ,Economics / Applied Economics,4-5 Year(s),16 Week(s),Carleton University,CO-OP
281,Bachelor ,Outdoor Adventure Leadership,4 Year(s),8-12 Week(s),Laurentian University,CO-OP
282,College Diploma (DCS) Environment ,Outdoor Adventure Naturalist,2 Year(s),16 Week(s),Algonquin College of Applied Arts and Technology (Pembroke),CO-OP
283,Bachelor Arts ,Pacific and Asian Studies,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
284,Bachelor Arts & Sciences ,Anthropology,3-4 Year(s),12-17 Week(s),Concordia University of Montreal,CO-OP
285,Bachelor Arts ,Anthropology,4 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
286,Bachelor Arts ,Anthropology,4-5 Year(s),16 Week(s),Carleton University,CO-OP
287,Master Environment ,Parks and Outdoor Recreation,2 Year(s),16 Week(s),Simon Fraser University,CO-OP
288,Master Arts ,Performance,4 Year(s),16-18 Week(s),University of Victoria,CO-OP
289,College Diploma (DCS) Engineering ,Petroleum Engineering Technology,3 Year(s),12-16 Week(s),College of the North Atlantic (Ridge Road),CO-OP
290,Bachelor Commerce,Petroleum Land Management,5 Year(s),16 Week(s),University of Calgary,CO-OP
291,Bachelor Engineering ,Biomedical Engineering,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
292,Bachelor Health Sciences ,Sport and Physical Education,4 Year(s),4 Week(s),Laurentian University,CO-OP
293,Bachelor Business administration ,Strategic Management,3 Year(s),16 Week(s),McGill University / Faculty of Management,CO-OP
294,Master Business administration ,Strategic Marketing,2 Year(s),16 Week(s),McMaster University,CO-OP
295,Bachelor ,Public Policy Studies,3  Year(s),16 Week(s),Mount Saint Vincent University,CO-OP
296,Master ,Public Policy and Public Administration,2 Year(s),16 - 32 Week(s),Concordia University of Montreal,CO-OP
297,Master Arts ,Public and Applied Folklore,2 Year(s),12-18 Week(s),Memorial University of Newfoundland,CO-OP
298,College Diploma (DCS) Business administration ,Small Business Administration,2 Year(s),12 to 15 Week(s),Canadore College,CO-OP
299,College Diploma (DCS) Business administration ,Small Business Management,2 Year(s),12 to 15 Week(s),Canadore College,CO-OP
300,Bachelor ,Social Communication,3 Year(s),16 Week(s),Université du Québec à Trois-Rivières (UQTR),CO-OP
301,Bachelor Law ,Social Justice,4 Year(s),13 Week(s),University of Regina,CO-OP
302,Master Arts ,Sociology/Anthropology,2 Year(s),16 Week(s),Simon Fraser University,CO-OP
303,Master Arts ,Sociology - Quantitative methodology,2 Year(s),16 Week(s),Carleton University,CO-OP
304,Bachelor Business administration ,Spanish American Studies,4 Year(s),16 Week(s),University of Alberta,CO-OP
305,Bachelor Arts ,3D animation and digital design,3 Year(s),16 Week(s),Université du Québec à Chicoutimi (UQAC),CO-OP
306,Bachelor Health Sciences ,Sport Psychology,4 Year(s),4 Week(s),Laurentian University,CO-OP
307,Bachelor Commerce,Accounting,4-5 Year(s),16 Week(s),Carleton University,CO-OP
308,Bachelor Business administration ,Accounting,3 Year(s),12-17 Week(s),Université de Sherbrooke,CO-OP
309,Bachelor Commerce,Accounting,5 Year(s),16 Week(s),University of Guelph,CO-OP
310,Bachelor Commerce,Accounting,4 Year(s),16 Week(s),University of Ottawa,CO-OP
311,Bachelor ,Accounting,3 Year(s),28 Week(s),Université du Québec à Trois-Rivières (UQTR),CO-OP
312,College Diploma (DCS) Business administration ,Accounting,3 Year(s),7 Week(s),Collège Boréal,CO-OP
313,Bachelor ,"Tourism, Culture and Leisure",3 Year(s),32 Week(s),Université du Québec à Trois-Rivières (UQTR),CO-OP
314,Master Arts ,Theatre Directing,4 Year(s),16-18 Week(s),University of Victoria,CO-OP
315,College Diploma (DCS) ,Tool and Die Technician,2 Year(s),33 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
316,Master Environment ,Tourism and Eco-tourism Development,2 Year(s),16 Week(s),Simon Fraser University,CO-OP
317,Bachelor Business administration ,Accounting,5 Year(s),12-16 Week(s),University of British Columbia (Okanagan),CO-OP
318,Bachelor Business administration ,Personnel & Industrial Relations,5 Year(s),16 Week(s),Trinity Western University,CO-OP
319,College Diploma (DCS) ,Telecommunications Technician - Electronics,2 Year(s),12 Week(s),Thompson Rivers University,CO-OP
320,Master Engineering ,Telecommunications and Information Security,4 Year(s),16-18 Week(s),University of Victoria,CO-OP
321,Master Sciences ,Toxicology,1 Year(s),15 Week(s),Université de Montréal,CO-OP
322,Bachelor Commerce,Operations and Logistics,4.5 Year(s),12-16 Week(s),University of British Columbia (Vancouver),CO-OP
323,College Diploma (DCS) ,Water Engineering Technology,2 Year(s),13 Week(s),Okanagan College,CO-OP
324,Master Environment ,Water Resource Planning,2 Year(s),16 Week(s),Simon Fraser University,CO-OP
325,Bachelor Engineering ,Water Resources Engineering,5 Year(s),16 Week(s),University of Guelph,CO-OP
326,College Diploma (DCS) Engineering ,Water Resources Engineering Technology,2.25 Year(s),16 Week(s), Saskatchewan Polytechnic,CO-OP
327,Bachelor Engineering ,Water engineering,4 Year(s),12-16 Week(s),Université Laval,CO-OP
328,Bachelor Computer Sciences ,Web,4 Year(s),16 Week(s),University of the Fraser Valley,CO-OP
329,College Diploma (DCS) Arts ,Visual Communications,2 Year(s),16 Week(s),Holland College,CO-OP
330,Bachelor Computer Sciences ,Web Services and Applications,3 Year(s),16 Week(s),Concordia University of Montreal,CO-OP
331,Bachelor Arts ,Russian Studies,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
332,Graduate Diploma Engineering ,Safety Engineering Technology,1 Year(s),12-16 Week(s),College of the North Atlantic (Ridge Road),CO-OP
333,Bachelor Sciences ,Science & Business,5 Year(s),16 Week(s),University of Waterloo,CO-OP
334,Bachelor Sciences ,Multimedia and video game sciences,3 Year(s),12-17 Week(s),Université de Sherbrooke,CO-OP
335,Bachelor Sciences ,Scientific Computation/Applied Math,5 Year(s),16 Week(s),University of Waterloo,CO-OP
336,College Diploma (DCS) Arts ,Screen Arts,2 Year(s),12-16 Week(s),Nova Scotia Community College,CO-OP
337,Bachelor Business administration ,Accounting,4 Year(s),16 Week(s),Langara College,CO-OP
338,College Diploma (DCS) Engineering ,Welding Engineering Technician,2 Year(s),16 Week(s),Northern College of Applied Arts and Technology (Kirkland Lake),CO-OP
339,College Diploma (DCS) Applied technology ,Welding Inspection and Quality,2 Year(s),12-16 Week(s),Nova Scotia Community College,CO-OP
340,College Diploma (DCS) Communication ,Wireless Communication and Computer Networks,2 Year(s),16 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
341,Bachelor Engineering ,Wood Engineering,4 Year(s),16 Week(s),Université Laval,CO-OP
342,Bachelor Sciences ,Wood Products Processing,5 Year(s),16 Week(s),University of British Columbia (Vancouver),CO-OP
343,College Diploma (DCS) Arts ,Wood Working,2 Year(s),16 Week(s),Holland College,CO-OP
344,College Diploma (DCS) ,Biotechnology,3 Year(s),16 Week(s),Algonquin College of Applied Arts and Technology (Ottawa),CO-OP
345,Bachelor Sciences ,Biotechnology,5 Year(s),14 Week(s),University of Manitoba,CO-OP
346,College Diploma (DCS) Business administration ,Administrative Assistant,2 Year(s),8 Week(s),Collège Boréal,CO-OP
347,Bachelor Business administration ,Accounting,4  Year(s),13 - 16  Week(s),University of Regina,CO-OP
348,Bachelor Business administration ,Accounting,4 Year(s),12-16 Week(s),Université de Moncton,CO-OP
349,Bachelor Arts ,Working Knowledge Co-op Program,3-4 Year(s),8-16 Week(s),St. Thomas University,CO-OP
350,College Diploma (DCS) ,Writing & Editing,2 Year(s),16-18 Week(s),University of Victoria,CO-OP
351,College Diploma (DCS) Health Sciences ,Youth Worker,1 Year(s),16-24 Week(s),Holland College,CO-OP
352,Bachelor Commerce,Bachelor of Commerce - Supply Chain Management,4 Year(s),16 Week(s),Algonquin College of Applied Arts and Technology (Ottawa),CO-OP
353,Master Arts ,Sustainable Energy Policy,2 Year(s),16 Week(s),Carleton University,CO-OP
354,Bachelor Engineering ,Sustainable and Renewable Energy Engineering,5 Year(s),16 Week(s),Carleton University,CO-OP
355,Bachelor Applied Sciences,Systems Design Engineering,5 Year(s),16 Week(s),University of Waterloo,CO-OP
356,Graduate Certificate ,Technical Communication,1 Year(s),16 Week(s),Seneca College,CO-OP
357,College Diploma (DCS) ,Technical Industrial Electonics,3 *Notes Year(s),12 Week(s),Cégep de Sorel-Tracy,CO-OP
358,Graduate Certificate ,Technical Writer,1 Year(s),16 Week(s),Algonquin College of Applied Arts and Technology (Ottawa),CO-OP
359,College Diploma (DCS) ,Technology - Nautical Science,4 Year(s),16 Week(s),Memorial University of Newfoundland,CO-OP
360,Bachelor Sciences ,Business Administration,6 Year(s),16 Week(s),University of Waterloo,CO-OP
361,College Diploma (DCS) ,Business Administration,3 Year(s),Min. 10 Week(s),George Brown College,CO-OP
362,Bachelor Business administration ,Business Administration,4 Year(s),13 Week(s),Crandall University,CO-OP
363,College Diploma (DCS) Business administration ,Business Administration,2 Year(s),16 Week(s),University of the Fraser Valley,CO-OP
364,Master Business administration ,Business Administration,2 Year(s),16 Week(s),McMaster University,CO-OP
365,Master Business administration ,Business Administration,2 Year(s),16-18 Week(s),University of Victoria,CO-OP
366,Master Business administration ,Business Administration,2 Year(s),16 Week(s),University of Windsor,CO-OP
367,College Diploma (DCS) Business administration ,Business,2 Year(s),16 Week(s),Algonquin College of Applied Arts and Technology (Pembroke),CO-OP
368,College Diploma (DCS) Business administration ,Business - Marketing,2.5 Year(s),16 Week(s), Saskatchewan Polytechnic,CO-OP
369,Bachelor Commerce,Business Accounting,5 Year(s),16 Week(s),University of Calgary,CO-OP
370,Bachelor Business administration ,Business Administration,4 Year(s),16 Week(s),Université Sainte-Anne (Pointe-de-l'Église),CO-OP
371,Master ,Business Administration,1.4 Year(s),24-48 Week(s),Thompson Rivers University,CO-OP
372,College Diploma (DCS) Arts & Sciences ,Business Administration,3 Year(s),12 to 15 Week(s),Canadore College,CO-OP
373,College Diploma (DCS) Business administration ,Business Administration,2 Year(s),16 Week(s),Northwest Community College,CO-OP
374,College Diploma (DCS) Business administration ,Business Administration,2 Year(s),16 Week(s),Nicola Valley Institute of Technology,CO-OP
375,College Diploma (DCS) Business administration ,Business Administration,2.5 Year(s),16 Week(s),North Island College,CO-OP
376,Bachelor Business administration ,Business Administration,4 Year(s),13 Week(s),Okanagan College,CO-OP
377,College Diploma (DCS) ,Building Mechanics Technology,3 Year(s),12-16 Week(s),Cégep de Jonquière,CO-OP
378,College Diploma (DCS) ,Building Mechanics Technology,3 Year(s),8-13 Week(s),Cégep de Saint-Hyacinthe,CO-OP
379,College Diploma (DCS) Engineering ,Building systems engineering technology,3 Year(s),13 Week(s),Cégep de l'Outaouais,CO-OP
380,College Diploma (DCS) Engineering ,Building systems engineering technician,3 Year(s),16 Week(s),Seneca College,CO-OP
381,Bachelor Commerce,Commerce,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
382,Bachelor Business administration ,Business,3-4 Year(s),12-16 Week(s),Bishop's University,CO-OP
383,Bachelor ,Business,5 Year(s),14-16 Week(s),Memorial University of Newfoundland,CO-OP
384,College Diploma (DCS) Arts & Sciences ,Business,2 Year(s),12 to 15  Week(s),Canadore College,CO-OP
385,Bachelor Business administration ,Business,5 Year(s),16 Week(s),Trinity Western University,CO-OP
386,Bachelor Sciences ,Biotechnology,5 Year(s),16 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
387,Bachelor Sciences ,Biotechnology,4 Year(s),16 Week(s),Simon Fraser University,CO-OP
388,Bachelor Sciences ,Biotechnology,5 Year(s),12 - 16 Week(s),Brock University,CO-OP
389,Bachelor Sciences ,Biotechnology,4.5 Year(s),12-16 Week(s),Brock University,CO-OP
390,Bachelor Sciences ,Biotechnology,5 Year(s),16 Week(s),University of British Columbia (Vancouver),CO-OP
391,Bachelor Sciences ,Biotechnology,4  Year(s),12 - 16  Week(s),La Cité - Collège d'arts appliqués et de technologie ,CO-OP
392,Bachelor Sciences ,Biotechnology,6 Year(s),16 Week(s),University of Ottawa,CO-OP
393,Bachelor Engineering ,Chemical Engineering,4 Year(s),12-52 Week(s),Université Laval,CO-OP
394,Bachelor Applied Sciences,Chemical Engineering,5 Year(s),16 Week(s),University of Waterloo,CO-OP
395,Bachelor Engineering ,Chemical Engineering,4-5 Year(s),12-16 Week(s),University of New Brunswick (Saint John),CO-OP
396,Bachelor Sciences ,Cell and Molecular Biology,3 Year(s),12-17 Week(s),Université de Sherbrooke,CO-OP
397,Bachelor Sciences ,Molecular Biology & Biotechnology,4 Year(s),16 Week(s),University of Toronto,CO-OP
398,College Diploma (DCS) Business administration ,Business Management,3 Year(s),8-13 Week(s),Cégep de Saint-Hyacinthe,CO-OP
399,Bachelor Commerce,Managing People and Organizations,4 Year(s),12-16 Week(s),Dalhousie University,CO-OP
400,College Diploma (DCS) Business administration ,Business Management - Human Resources,2.5 Year(s),16 Week(s), Saskatchewan Polytechnic,CO-OP
