academic_level_area_of_study_f,academic_level_area_of_study_e,program_of_study_e,program_of_study_f,program_length_e,program_length_f,duration_of_term_e,duration_of_term_f,institution_name_e,institution_name_f,contact,program_type_e,program_type_f
Baccalauréat Sciences de la gestion ,Bachelor Management Sciences ,Political Science,Science politique,4 Year(s),4 Année(s),16 Week(s),16 Semaine(s),University of Lethbridge,University of Lethbridge,Heather Hacior,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Commerce,College Diploma (DCS) Commerce,Accounting and Management Technology,Techniques de comptabilité et de gestion,3 Year(s),3 Année(s),12 Week(s),12 Semaine(s),Vanier College,Cégep Vanier,Andrea Satin,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Commerce,College Diploma (DCS) Commerce,Business Management (Marketing),Gestion de commerces (Marketing),3 Year(s),3 Année(s),12 Week(s),12 Semaine(s),Vanier College,Cégep Vanier,Andrea Satin,CO-OP,Coopératif
Baccalauréat Sciences de la santé ,Bachelor Health Sciences ,Nursing,Soins infirmiers,22 Month(s),22 Mois,13 Week(s),13 Semaine(s),University of Calgary,University of Calgary,Rita Lisella,CO-OP,Coopératif
Baccalauréat ,Bachelor ,Environmental Health,Santé Environnementale,15 Month(s),15 Mois,12 Week(s),12 Semaine(s),Concordia University of Edmonton,Concordia University of Edmonton,Doreen Kooy,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,International Economics and Finance - Co-op,International Economics and Finance - Co-op,4 Year(s),4 Année(s),16 Week(s),16 Semaine(s),Toronto Metropolitan University (formerly Ryerson University) ,Université métropolitaine de Toronto (anciennement Université Ryerson) ,Neha Thakordas,CO-OP,Coopératif
Diplôme universitaire de premier cycle Sciences ,Undergraduate Diploma Sciences ,Statistics,Statistiques,4 Year(s),4 Année(s),16 Week(s),16 Semaine(s),University of Ottawa,Université d'Ottawa,Catrina  Curran,CO-OP,Coopératif
Certificat de deuxième cycle Sciences de l'informatique ,Graduate Certificate Computer Sciences ,Mobile application development,Développement d'applications mobiles,2 Year(s),2 Année(s),15 Week(s),15 Semaine(s),Cambrian College,Cambrian College,Kristy Matthews,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Chemical Technology,Chemical Technology,3 Year(s),3 Année(s),16 Week(s),16 Semaine(s),New Brunswick Community College NBCC (Moncton),New Brunswick Community College NBCC (Moncton),Lori Cameron,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Industrial Control Technology,Industrial Control Technology,3 Year(s),3 Année(s),16 Week(s),16 Semaine(s),New Brunswick Community College NBCC (Moncton),New Brunswick Community College NBCC (Moncton),Lori Cameron,CO-OP,Coopératif
