academic_level_area_of_study_f,academic_level_area_of_study_e,program_of_study_e,program_of_study_f,program_length_e,program_length_f,duration_of_term_e,duration_of_term_f,institution_name_e,institution_name_f,contact,program_type_e,program_type_f
Baccalauréat Commerce,Bachelor Commerce,Hospitality & Tourism Management (HT001),Accueil et gestion du tourisme (HT001),5 Year(s),5 Année(s),420 Hour(s),420 Heure(s),Toronto Metropolitan University (formerly Ryerson University) ,Université métropolitaine de Toronto (anciennement Université Ryerson) ,Jessica Kudlats,CO-OP,Coopératif
Baccalauréat Commerce,Bachelor Commerce,Human Resource Management and Organizational Behaviour (BM001),Gestion des ressources humaines et comportement organisationnel (BM001),5 Year(s),5 Année(s),420 Hour(s),420 Heure(s),Toronto Metropolitan University (formerly Ryerson University) ,Université métropolitaine de Toronto (anciennement Université Ryerson) ,Jessica Kudlats,CO-OP,Coopératif
Baccalauréat Commerce,Bachelor Commerce,Law and Business (BM001),Droit et affaires (BM001),5 Year(s),5 Année(s),420 Hour(s),420 Heure(s),Toronto Metropolitan University (formerly Ryerson University) ,Université métropolitaine de Toronto (anciennement Université Ryerson) ,Jessica Kudlats,CO-OP,Coopératif
Baccalauréat Commerce,Bachelor Commerce,Marketing Management (BM001),Gestion marketing (BM001),5 Year(s),5 Année(s),420 Hour(s),420 Heure(s),Toronto Metropolitan University (formerly Ryerson University) ,Université métropolitaine de Toronto (anciennement Université Ryerson) ,Jessica Kudlats,CO-OP,Coopératif
Baccalauréat Commerce,Bachelor Commerce,Real Estate Management (BM001),Marketing Gérer la gestion immobilière (BM001),5 Year(s),5 Année(s),420 Hour(s),420 Heure(s),Toronto Metropolitan University (formerly Ryerson University) ,Université métropolitaine de Toronto (anciennement Université Ryerson) ,Jessica Kudlats,CO-OP,Coopératif
Baccalauréat Commerce,Bachelor Commerce,Retail Management (RL001),Gestion du commerce de détail (RL001),5 Year(s),5 Année(s),420 Hour(s),420 Heure(s),Toronto Metropolitan University (formerly Ryerson University) ,Université métropolitaine de Toronto (anciennement Université Ryerson) ,Jessica Kudlats,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Game Development ,Développement de jeu,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Geographic Sciences,Sciences géographiques,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Arts appliqués,College Diploma (DCS) Applied Arts,Radio Television Journalism ,Journalisme Radio Télévision,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Civil Engineering Technology ,Technologie du génie civil,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Construction Management Technology ,Technologie de gestion de la construction,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Drafting Architectural,Rédaction architecturale,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Electrical Engineering Technology ,Technologie du génie électrique,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Energy Sustainability Engineering Technology ,Ingénierie de la durabilité énergétique,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Environmental Engineering Technology ,Technologie du génie de l'environnement,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Horticulture & Landscape Technology ,Horticulture et technologie du paysage,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Metal Fabrication ,Fabrication en métal,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences appliquées,College Diploma (DCS) Applied Sciences,Natural Resources Environmental Technology,Ressources naturelles Technologie environnementale,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Electronic Engineering Technology,,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences appliquées,College Diploma (DCS) Applied Sciences,Heavy Duty Equipment/Truck and Transport Repair Diploma,,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Cyber Security,,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Arts appliqués,College Diploma (DCS) Applied Arts,Music Production and Engineering ,Production musicale et ingénierie,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Baccalauréat ,Bachelor ,Indigenous Social Work,Travail social des autochtones,4 Year(s),4 Année(s),700 Hour(s),700 Heure(s),Laurentian University,Université Laurentienne,Sheri Cecchetto,CO-OP,Coopératif
Maîtrise Droit ,Master Law ,Labour Law,Droit du travail,2 Year(s),2 Année(s),450 Hour(s),450 Heure(s),Université du Québec à Montréal (UQAM),Université du Québec à Montréal (UQAM),Coline de Lagarde,CO-OP,Coopératif
Diplôme post-maîtrise Foresterie ,Post-Master's Diploma Forestry ,PSCTest,PSCTestFR,2 Day(s),2 Jour(s),2 Day(s),2 Jour(s),Academy Canada (Corner Brook),Academy Canada (Corner Brook),Mona Abdoon,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Metallurgical Engineering Technologies,Technologies du génie métallurgiques,3 Year(s),3 Année(s),notes Day(s),notes Jour(s),Cégep de Trois-Rivières,Cégep de Trois-Rivières,Louise Grégoire,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Pulp and Paper Technology,Technologie des pâtes et papiers,3 Year(s),3 Année(s),notes Day(s),notes Jour(s),Cégep de Trois-Rivières,Cégep de Trois-Rivières,Louise Grégoire,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,"Pure Math (Options in Finance,Teaching and Engineering Electives)","Mathématique pure (avec options en finance, enseignement, et génie élective)",5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Arts & Sciences,Bachelor Arts & Sciences ,Pure and Applied Mathematics,Mathématiques pures et appliquées,3 Year(s),3 Année(s),16 Week(s),16 Semaine(s),Concordia University of Montreal,Université Concordia de Montréal,Amanda Holt,CO-OP,Coopératif
Maîtrise Sciences appliquées,Master Applied Sciences,Quality Systems Engineering,Ingénierie en systèmes de qualité,3 Year(s),3 Année(s),16 Week(s),16 Semaine(s),Concordia University of Montreal,Université Concordia de Montréal,Nathalie Steverman,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Communication ,College Diploma (DCS) Communication ,Radio Television Journalism ,"Journalisme, radio et télévision",2 Year(s),2 Année(s),12-16 Week(s),12-16 Semaine(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Real Estate Appraisal,Évaluation immobilière,3 Year(s),3 Année(s),12 Week(s),12 Semaine(s),Cégep de Drummondville,Cégep de Drummondville,Annie Martin,CO-OP,Coopératif
Baccalauréat Commerce,Bachelor Commerce,Real Estate ,Immobilier ,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Guelph,University of Guelph,Tyler Clark,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences sociales ,College Diploma (DCS) Social Sciences ,Records,Dossier,2 Year(s),2 Année(s),4 Week(s),4 Semaine(s),MacEwan University,MacEwan University,Tom Carter,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,Recreation and Health Education,Éducation en santé et en loisirs,5 Year(s),5 Année(s),16-18 Week(s),16-18 Semaine(s),University of Victoria,University of Victoria,Nancy Reed,CO-OP,Coopératif
Baccalauréat Sciences de la santé ,Bachelor Health Sciences ,Recreation and Sport Administration,Administration des sports et récréologie,4 Year(s),4 Année(s),12 Week(s),12 Semaine(s),University of Regina,University of Regina,Douglas G. Cripps,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,"Recreation, Fish and Wildlife Technology","Technologie en activités récréatives, pêche et faune",2 Year(s),2 Année(s),16 Week(s),16 Semaine(s),Selkirk College,Selkirk College,Jessica Adrain,CO-OP,Coopératif
Maîtrise Environnement ,Master Environment ,Regional and Community Planning,Planification régionale et communautaire,2 Year(s),2 Année(s),16 Week(s),16 Semaine(s),Simon Fraser University,Simon Fraser University,Paul DeGrace,CO-OP,Coopératif
Apprentissage formation technique et professionnelle (sauf QC) ,Apprenticeship Vocational & Technical Training (excluding QC) ,Regulatory Affairs,Affaires réglementaires,1 Year(s),1 Année(s),12 Week(s),12 Semaine(s),Humber College,Humber College,Helen Filipe,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,Religion & Culture,Culture et Religion,4 Year(s),4 Année(s),16 Week(s),16 Semaine(s),Wilfrid Laurier University,Wilfrid Laurier University,Theresa McLellan,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Metallurgical Engineering Technology,Technologie du génie métallurgique,3 Year(s),3 Année(s),12 Week(s),12 Semaine(s),Cégep de Chicoutimi,Cégep de Chicoutimi,Johnny Gauthier,CO-OP,Coopératif
Baccalauréat Sciences appliquées,Bachelor Applied Sciences,Materials Engineering,Génie des matériaux,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of British Columbia (Vancouver),University of British Columbia (Vancouver),Sara Buse,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Microbiology and Chemistry,Microbiologie et Chimie,5 Year(s),5 Année(s),16-18 Week(s),16-18 Semaine(s),University of Victoria,University of Victoria,Rozanne Poulson,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Mineral Resources Engineering,Technologie de ressources minérales,5 Year(s),5 Année(s),14 min. Week(s),14 min. Semaine(s),Dalhousie University,Dalhousie University,Paul C.  Mombourquette,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Mineral Technology:  Exploitation,Technologie minérale:  exploitation,3 Year(s),3 Année(s),28 Week(s),28 Semaine(s),Cégep de Thetford,Cégep de Thetford,Élise Laflamme,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences appliquées,College Diploma (DCS) Applied Sciences,Mineral Technology:  applied geology,Technologie minérale:  géologie appliquée,3 Year(s),3 Année(s),28 Week(s),28 Semaine(s),Cégep de Thetford,Cégep de Thetford,Élise Laflamme,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Mineral Technology:  mineralurgy,Technologie minérale:  minéralurgie,3 Year(s),3 Année(s),28 Week(s),28 Semaine(s),Cégep de Thetford,Cégep de Thetford,Élise Laflamme,CO-OP,Coopératif
Doctorat Arts & Sciences,Doctorate Arts & Sciences ,Psychology of labour and organizations - 322017,Psychologie du travail et des organisations - 322017,5 Year(s),5 Année(s),1870 Hour(s),1870 Heure(s),Université de Montréal,Université de Montréal,Robert Haccoun,CO-OP,Coopératif
Doctorat Arts & Sciences,Doctorate Arts & Sciences ,Psychology of labour and organizations - 322018,Psychologie du travail et des organisations - 322018 ,4 Year(s),4 Année(s),1870 Hour(s),1870 Heure(s),Université de Montréal,Université de Montréal,Robert Haccoun,CO-OP,Coopératif
Baccalauréat Sciences sociales ,Bachelor Social Sciences ,Social Work Practicum,Stage en travail social,4 Year(s),4 Année(s),700 Hour(s),700 Heure(s),York University,Université York,Vina Sandher,CO-OP,Coopératif
Maîtrise Sciences sociales ,Master Social Sciences ,Social Work Practicum (2),Stage en travail social (2),2 Year(s),2 Année(s),550 Hour(s),550 Heure(s),York University,Université York,Vina Sandher,CO-OP,Coopératif
Maîtrise Sciences sociales ,Master Social Sciences ,Social Work Practicum (1),Stage en travail social (1),1 Year(s),1 Année(s),450 Hour(s),450 Heure(s),York University,Université York,Vina Sandher,CO-OP,Coopératif
Baccalauréat ,Bachelor ,Natural Resource Science,Science des ressources naturelles,5 Year(s),5 Année(s),12 Week(s),12 Semaine(s),Thompson Rivers University,Thompson Rivers University,Marion Oke,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Natural Resources Conservation,Conservation des ressources naturel,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of British Columbia (Vancouver),University of British Columbia (Vancouver),Geoffrey Anderson,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Natural Resources Management - Forestry,Gestion des ressources naturelles - Foresterie,4 Year(s),4 Année(s),16 Week(s),16 Semaine(s),University of Northern British Columbia,University of Northern British Columbia,Maria Trujillo,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Natural Resources Management - Wildlife and Fisheries,Gestion des ressources naturelles - Faune et pêches,4 Year(s),4 Année(s),16 Week(s),16 Semaine(s),University of Northern British Columbia,University of Northern British Columbia,Maria Trujillo,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Nautical Science,Science nautique,4 Year(s),4 Année(s),8-20 Week(s),8-20 Semaine(s),Memorial University of Newfoundland,Memorial University of Newfoundland,Bernie Brockerville,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences ,College Diploma (DCS) Sciences ,"Nautical Sciences, Deck Officer","Sciences Navales, Officier de Pont",4 Year(s),4 Année(s),26 Week(s),26 Semaine(s),British Columbia Institute of Technology (BCIT),British Columbia Institute of Technology (BCIT),Jeff Otto,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,"Nautical Sciences, Marine Engineer","Sciences Navales, Ingénieur Marin",4 Year(s),4 Année(s),26 Week(s),26 Semaine(s),British Columbia Institute of Technology (BCIT),British Columbia Institute of Technology (BCIT),Jeff Otto,CO-OP,Coopératif
